DateTime,Entries,UniqueIPs
1518596214,9301,9301
1518596906,9310,9310
1518597876,9315,9315
1518598837,9318,9318
1518599797,9299,9299
1518600753,9303,9303
1518601720,9298,9298
1518602681,9320,9320
1518603747,9326,9326
1518604900,9338,9338
1518605555,9332,9332
1518606513,9338,9338
1518607220,9330,9330
1518607953,9324,9324
1518608667,9333,9333
1518609383,9332,9332
1518610099,9324,9324
1518610837,9324,9324
1518611544,9323,9323
1518612261,9322,9322
1518612986,9323,9323
1518614034,9298,9298
1518614910,9317,9317
1518615619,9319,9319
1518616344,9331,9331
1518617081,9357,9357
1518618039,9362,9362
1518618744,9372,9372
1518619461,9376,9376
1518620184,9368,9368
1518621159,9346,9346
1518621867,9333,9333
1518622583,9333,9333
1518623307,9327,9327
1518624041,9333,9333
1518624763,9332,9332
1518625465,9338,9338
1518626197,9336,9336
1518627147,9332,9332
1518628117,9325,9325
1518629078,9343,9343
1518630024,9360,9360
1518630990,9370,9370
1518631960,9344,9344
1518632916,9329,9329
1518633860,9363,9363
1518634567,9329,9329
1518635293,9328,9328
1518636513,9356,9356
1518637222,9352,9352
1518637967,9362,9362
1518638918,9343,9343
1518639879,9360,9360
1518640600,9345,9345
1518641301,9344,9344
1518642030,9333,9333
1518642999,9324,9324
1518643952,9314,9314
1518644922,9307,9307
1518645869,9313,9313
1518646827,9298,9298
1518647785,9286,9286
1518649486,9266,9266
1518650170,9278,9278
1518650908,9259,9259
1518651871,9252,9252
1518652831,9252,9252
1518653802,9237,9237
1518654748,9251,9251
1518655717,9238,9238
1518656673,9255,9255
1518657404,9249,9249
1518658105,9242,9242
1518658825,9235,9235
1518659554,9245,9245
1518660510,9252,9252
1518661241,9263,9263
1518662194,9248,9248
1518663148,9185,9185
1518664128,9239,9239
1518665312,9234,9234
1518666272,9233,9233
1518667229,9249,9249
1518668204,9237,9237
1518669405,9232,9232
1518670365,9241,9241
1518671315,9248,9248
1518672273,9244,9244
1518673475,9231,9231
1518674442,9249,9249
1518675393,9245,9245
1518676353,9212,9212
1518677556,9218,9218
1518678515,9222,9222
1518679463,9231,9231
1518680431,9233,9233
1518681392,9243,9243
1518682358,9237,9237
1518683057,9256,9256
1518683782,9233,9233
1518684499,9259,9259
1518685238,9269,9269
1518686198,9260,9260
1518687146,9268,9268
1518688115,9269,9269
1518689322,9290,9290
1518690267,9270,9270
1518691220,9279,9279
1518692191,9271,9271
1518693153,9255,9255
1518693858,9271,9271
1518694581,9287,9287
1518695301,9283,9283
1518696044,9282,9282
1518697380,9254,9254
1518698185,9280,9280
1518699139,9303,9303
1518700115,9268,9268
1518701399,9282,9282
1518702041,9286,9286
1518702738,9277,9277
1518703465,9258,9258
1518704431,9290,9290
1518705395,9288,9288
1518706345,9297,9297
1518707309,9288,9288
1518708261,9297,9297
1518709230,9282,9282
1518710185,9279,9279
1518711150,9292,9292
1518712105,9272,9272
1518712817,9287,9287
1518713545,9286,9286
1518714267,9304,9304
1518714981,9308,9308
1518715687,9297,9297
1518716780,9309,9309
1518717869,9303,9303
1518719326,9328,9328
1518720029,9329,9329
1518720751,9315,9315
1518721706,9334,9334
1518722416,9314,9314
1518723149,9315,9315
1518723858,9331,9331
1518724591,9323,9323
1518725293,9263,9263
1518726029,9323,9323
1518726742,9331,9331
1518727462,9321,9321
1518728440,9318,9318
1518729390,9300,9300
1518730095,9250,9250
1518730825,9259,9259
1518731786,9290,9290
1518732515,9274,9274
1518733464,9195,9195
1518734176,9272,9272
1518734920,9200,9200
1518735865,9239,9239
1518736848,9243,9243
1518737546,9239,9239
1518738264,9244,9244
1518739233,9216,9216
1518740437,9248,9248
1518741390,9235,9235
1518742349,9262,9262
1518743310,9241,9241
1518744265,9237,9237
1518745221,9238,9238
1518746185,9245,9245
1518747147,9243,9243
1518748347,9211,9211
1518749062,9221,9221
1518750031,9247,9247
1518750988,9235,9235
1518752189,9201,9201
1518753145,9229,9229
1518754116,9252,9252
1518755066,9220,9220
1518755787,9223,9223
1518756509,9223,9223
1518757227,9220,9220
1518758191,9241,9241
1518759146,9228,9228
1518760110,9237,9237
1518761072,9247,9247
1518762027,9247,9247
1518762988,9262,9262
1518763717,9273,9273
1518764434,9243,9243
1518765387,9249,9249
1518766397,9258,9258
1518767306,9261,9261
1518768279,9268,9268
1518769227,9262,9262
1518770191,9284,9284
1518771149,9284,9284
1518772127,9303,9303
1518773060,9282,9282
1518774028,9302,9302
1518774983,9278,9278
1518775953,9276,9276
1518776657,9293,9293
1518777384,9286,9286
1518778096,9286,9286
1518779068,9304,9304
1518780292,9304,9304
1518781225,9319,9319
1518781937,9321,9321
1518782679,9325,9325
1518783520,9311,9311
1518784122,9303,9303
1518784810,9301,9301
1518785531,9331,9331
1518786505,9330,9330
1518787207,9327,9327
1518788192,9332,9332
1518789139,9344,9344
1518789865,9343,9343
1518790575,9330,9330
1518791537,9339,9339
1518792505,9342,9342
1518793459,9331,9331
1518794672,9338,9338
1518795626,9369,9369
1518796842,9358,9358
1518797534,9365,9365
1518798265,9359,9359
1518798979,9373,9373
1518799698,9362,9362
1518800681,9358,9358
1518801624,9353,9353
1518802595,9343,9343
1518803541,9354,9354
1518804281,9357,9357
1518805217,9384,9384
1518806179,9375,9375
1518806889,9376,9376
1518807865,9376,9376
1518808586,9383,9383
1518809293,9396,9396
1518810009,9389,9389
1518810756,9386,9386
1518811472,9377,9377
1518812205,9344,9344
1518813146,9368,9368
1518814106,9370,9370
1518815315,9386,9386
1518816263,9377,9377
1518817223,9366,9366
1518818187,9365,9365
1518819144,9315,9315
1518820108,9342,9342
1518821061,9343,9343
1518822268,9336,9336
1518823470,9309,9309
1518824192,9306,9306
1518824852,9298,9298
1518825867,9295,9295
1518826825,9299,9299
1518827783,9268,9268
1518828749,9311,9311
1518829702,9320,9320
1518830658,9295,9295
1518831614,9298,9298
1518832586,9281,9281
1518833799,9280,9280
1518834753,9284,9284
1518835707,9269,9269
1518836683,9292,9292
1518837872,9284,9284
1518838828,9288,9288
1518839781,9287,9287
1518840765,9286,9286
1518841705,9284,9284
1518842668,9264,9264
1518843626,9250,9250
1518844599,9302,9302
1518845546,9281,9281
1518846515,9286,9286
1518847472,9300,9300
1518848434,9280,9280
1518849387,9269,9269
1518850349,9304,9304
1518851309,9301,9301
1518852274,9282,9282
1518853221,9267,9267
1518854193,9282,9282
1518855144,9300,9300
1518856112,9301,9301
1518857064,9321,9321
1518858033,9317,9317
1518858986,9319,9319
1518859958,9326,9326
1518860903,9334,9334
1518861874,9341,9341
1518862580,9345,9345
1518863298,9359,9359
1518864263,9343,9343
1518864987,9352,9352
1518865952,9369,9369
1518866904,9383,9383
1518867875,9391,9391
1518868831,9390,9390
1518869796,9379,9379
1518870513,9388,9388
1518871466,9375,9375
1518872433,9374,9374
1518873152,9360,9360
1518874109,9392,9392
1518875068,9414,9414
1518875862,9416,9416
1518876993,9430,9430
1518877947,9421,9421
1518878907,9404,9404
